"Especialidad"	"p_values"	"or_values"	"p_value_significant"	"conf_int_lower"	"conf_int_upper"
"MEDICINA OCUPACIONAL Y DEL MEDIO AMBIENTE"	4.78241093178789e-05	1.10618057690756	TRUE	1.01607007994348	1.20428255184444
"MEDICINA LEGAL"	7.0323327653051e-05	1.25520953221922	TRUE	1.03203841651029	1.52663984651035
"PSIQUIATRIA DEL NIÑO Y DEL ADOLESCENTE"	7.75657025949207e-05	1.26544718697559	TRUE	1.03196281114093	1.55175803404532
"MEDICINA INTERNA"	0.000289723219130618	0.951759457585002	TRUE	0.908328511626054	0.997267016842397
"DERMATOLOGIA PEDIATRICA"	0.000329174276542988	1.33684960588201	TRUE	1.01363096374807	1.76313365777318
"INMUNOLOGIA Y ALERGIA"	0.000551212310459781	1.17762049764724	TRUE	1.0014598948734	1.38476842016097
"MEDICINA FORENSE"	0.000670845704757623	1.75925714699533	FALSE	0.996269108867017	3.10657600612677
"ONCOLOGIA PEDIATRICA"	0.00086897413519165	1.34086975965046	FALSE	0.991762449185293	1.81286528222633
"MEDICINA DE EMERGENCIAS Y DESASTRES"	0.00214433939084316	0.942700382695052	FALSE	0.882652062076444	1.00683389266987
"RADIOLOGIA INTERVENCIONISTA"	0.00343329074258392	0.816903723858868	FALSE	0.644764208203382	1.03500114547929
"CIRUGIA ONCOLOGICA DE CABEZA Y CUELLO"	0.00349638298387934	0.738282627826754	FALSE	0.517283883869587	1.05369847302009
"NEUROLOGIA PEDIATRICA"	0.00418134896712281	1.13400480561079	FALSE	0.975727828806901	1.31795656655774
"GASTROENTEROLOGIA"	0.00479245926248028	1.02735064170296	FALSE	0.994247004786986	1.06155647029953
"UROLOGIA PEDIATRICA"	0.00553188807125796	0.728235693895742	FALSE	0.492381129205674	1.07706651292596
"PATOLOGIA ONCOLOGICA"	0.00586391622782418	1.3234467813061	FALSE	0.934268168413119	1.87474158080891
"NEUROCIRUGIA PEDIATRICA"	0.00859731951687137	0.734476963454717	FALSE	0.49130411336486	1.0980091458041
"CIRUGIA DE CABEZA, CUELLO Y MAXILOFACIAL"	0.0111608642682923	0.945288793906465	FALSE	0.876184839232633	1.01984291883838
"MEDICINA INTENSIVA PEDIATRICA"	0.0146255976658168	1.13771452742876	FALSE	0.94941546680792	1.36335923647208
"CIRUGIA CARDIOVASCULAR PEDIATRICA"	0.0331119148963012	0.622053920244932	FALSE	0.290090429338005	1.33389812471682
"RADIOLOGIA"	0.0360703711948325	0.980764231682672	FALSE	0.950137029863038	1.01237868635289
"GENETICA MEDICA"	0.0538261721988547	1.11994570802346	FALSE	0.915885267636573	1.36947108250456
"CIRUGIA COLORECTAL"	0.0607871394648504	0.754524969807377	FALSE	0.451132881792804	1.26195175089267
"NEFROLOGIA"	0.0702359769189852	1.03104327677125	FALSE	0.97312204814224	1.09241203670644
"NEUMOLOGIA"	0.0825723216257284	1.03247818198965	FALSE	0.96940079662135	1.09965991362914
"CIRUGIA ONCOLOGICA DE MAMAS, TEJIDOS"	0.0980790314809667	0.879193812162007	FALSE	0.673525489442083	1.14766519079217
"ADOLESCENTOLOGIA"	0.113401386599471	1.74662266136222	FALSE	0.522851201574847	5.83472068536085
"GASTROENTEROLOGIA PEDIATRICA"	0.147568924055179	1.09366200474427	FALSE	0.885020124768268	1.35149082732368
"PSIQUIATRIA DE ADICCIONES"	0.160528238884265	1.19101266135771	FALSE	0.777481846188505	1.82449425213876
"CIRUGIA ONCOLOGICA GINECOLOGICA"	0.216523349723383	0.647032699970915	FALSE	0.193684644734203	2.16151009494467
"RADIOTERAPIA"	0.225440313607913	0.948732998677513	FALSE	0.817685728733508	1.10078269822977
"MEDICINA DE ENFERMEDADES INFECCIOSAS Y TROPICALES"	0.227289089375935	0.96595205780004	FALSE	0.875573297136586	1.06565992935091
"NEUROLOGIA"	0.260866438434861	0.97990571733875	FALSE	0.921167428761565	1.04238945591473
"CIRUGIA DE RETINA Y VITREO"	0.270712446986356	0.941156461613483	FALSE	0.779448186841753	1.13641355537141
"NEFROLOGIA PEDIATRICA"	0.271402237150962	1.16413840226746	FALSE	0.725316857700497	1.86844991295263
"CARDIOLOGIA PEDIATRICA"	0.344813896757742	0.955480920019447	FALSE	0.810103243875918	1.12694745444123
"NEUMOLOGIA ONCOLOGICA"	0.382205549473543	0.647044531133865	FALSE	0.117526611114541	3.56231343096593
"OFTALMOLOGIA ONCOLOGICA"	0.403310766176946	0.812062379415001	FALSE	0.346087078459207	1.90543175144111
"GINECOLOGIA Y OBSTETRICIA"	0.434255694699109	1.00599113321239	FALSE	0.980020108403276	1.03265040321548
"MEDICINA NUCLEAR"	0.507153222001714	0.964137044317349	FALSE	0.798476117224615	1.16416786948611
"ANESTESIOLOGIA CARDIOVASCULAR"	0.588671675623558	1.03511358528362	FALSE	0.83193613864334	1.28791151708614
"INFECTOLOGIA PEDIATRICA"	0.61303169064897	1.11928272666303	FALSE	0.521941372286816	2.40025774680424
"PEDIATRIA DE EMERGENCIAS Y DESASTRES"	0.626378855316355	1.1145761663928	FALSE	0.519739459839535	2.39019764070968
"HEMATOLOGIA PEDIATRICA"	0.629685209823838	0.918574517835832	FALSE	0.50256222251804	1.67895457917887
"CIRUGIA DE COLON, RECTO Y ANO"	0.646739522769991	0.955346225527848	FALSE	0.679116075011434	1.34393286245661
"NEUMOLOGIA PEDIATRICA"	0.697052291264053	0.980871400771004	FALSE	0.827638827601378	1.16247410436103
"OFTALMOLOGIA PEDIATRICA Y ESTRABISMO"	0.738150030537254	1.02604250834502	FALSE	0.788518029166571	1.33511624337136
"MEDICINA DEL DEPORTE"	0.977190079698598	1.00217530551577	FALSE	0.772565994435019	1.30002530556648
"CIRUGIA DE TORAX ONCOLOGICA"	0.980858498812342	1.00848802451205	FALSE	0.301879294526585	3.36905549345149
