"especialidad"	"n_postulantes"	"n_genero"	"p_genero"	"n_mujeres"	"p_mujeres"	"n_hombres"	"p_hombres"
"HEMATOLOGIA"	365	351	0.961643835616438	245	0.698005698005698	106	0.301994301994302
"HEMATOLOGIA PEDIATRICA"	8	8	1	3	0.375	5	0.625
"INFECTOLOGIA PEDIATRICA"	6	5	0.833333333333333	3	0.6	2	0.4
"INMUNOLOGIA Y ALERGIA"	117	112	0.957264957264957	69	0.616071428571429	43	0.383928571428571
"MEDICINA DE EMERGENCIAS Y DESASTRES"	613	569	0.928221859706362	230	0.404217926186292	339	0.595782073813708
"MEDICINA DE ENFERMEDADES INFECCIOSAS Y TROPICALES"	339	311	0.91740412979351	131	0.421221864951768	180	0.578778135048232
"MEDICINA DE REHABILITACION"	260	248	0.953846153846154	174	0.701612903225806	74	0.298387096774194
"MEDICINA DEL DEPORTE"	46	43	0.934782608695652	20	0.465116279069767	23	0.534883720930233
"MEDICINA FAMILIAR Y COMUNITARIA"	639	608	0.951486697965571	346	0.569078947368421	262	0.430921052631579
"MEDICINA FISICA Y DE REHABILITACION"	1238	1145	0.924878836833603	829	0.724017467248908	316	0.275982532751092
"MEDICINA FORENSE"	9	9	1	9	1	0	0
"MEDICINA INTENSIVA"	707	652	0.922206506364922	233	0.357361963190184	419	0.642638036809816
"MEDICINA INTENSIVA PEDIATRICA"	100	94	0.94	55	0.585106382978723	39	0.414893617021277
"MEDICINA INTERNA"	1251	1147	0.916866506794564	449	0.391455972101133	698	0.608544027898867
"MEDICINA LEGAL"	81	79	0.975308641975309	54	0.683544303797468	25	0.316455696202532
"MEDICINA NUCLEAR"	89	82	0.921348314606742	34	0.414634146341463	48	0.585365853658537
"MEDICINA OCUPACIONAL Y DEL MEDIO AMBIENTE"	432	410	0.949074074074074	227	0.553658536585366	183	0.446341463414634
"MEDICINA ONCOLOGICA"	921	867	0.941368078175896	454	0.523644752018454	413	0.476355247981546
"NEFROLOGIA"	801	751	0.937578027465668	368	0.490013315579228	383	0.509986684420772
"NEFROLOGIA PEDIATRICA"	13	13	1	8	0.615384615384615	5	0.384615384615385
"NEONATOLOGIA"	376	343	0.912234042553192	227	0.661807580174927	116	0.338192419825073
"NEUMOLOGIA"	642	603	0.939252336448598	294	0.487562189054726	309	0.512437810945274
"NEUMOLOGIA ONCOLOGICA"	1	1	1	0	0	1	1
"NEUMOLOGIA PEDIATRICA"	106	102	0.962264150943396	45	0.441176470588235	57	0.558823529411765
"NEUROCIRUGIA"	1125	1053	0.936	219	0.207977207977208	834	0.792022792022792
"NEUROCIRUGIA PEDIATRICA"	19	19	1	4	0.210526315789474	15	0.789473684210526
"NEUROLOGIA"	691	640	0.926193921852388	276	0.43125	364	0.56875
"NEUROLOGIA PEDIATRICA"	139	132	0.949640287769784	78	0.590909090909091	54	0.409090909090909
"OFTALMOLOGIA"	2185	2067	0.945995423340961	1080	0.522496371552975	987	0.477503628447025
"OFTALMOLOGIA ONCOLOGICA"	5	4	0.8	1	0.25	3	0.75
"OFTALMOLOGIA PEDIATRICA Y ESTRABISMO"	43	42	0.976744186046512	21	0.5	21	0.5
"ONCOLOGIA PEDIATRICA"	35	33	0.942857142857143	25	0.757575757575758	8	0.242424242424242
"ORTOPEDIA Y TRAUMATOLOGIA"	3156	2948	0.934093789607098	315	0.10685210312076	2633	0.89314789687924
"OTORRINOLARINGOLOGIA"	1458	1337	0.917009602194787	703	0.525804038893044	634	0.474195961106956
"PATOLOGIA CLINICA"	575	543	0.944347826086957	367	0.675874769797422	176	0.324125230202578
"PATOLOGIA ONCOLOGICA"	27	25	0.925925925925926	19	0.76	6	0.24
"PEDIATRIA"	6052	5557	0.918208856576338	3585	0.645132265610941	1972	0.354867734389059
"PEDIATRIA DE EMERGENCIAS Y DESASTRES"	4	4	1	3	0.75	1	0.25
"PSIQUIATRIA"	1780	1667	0.936516853932584	1001	0.600479904019196	666	0.399520095980804
"PSIQUIATRIA DE ADICCIONES"	16	16	1	10	0.625	6	0.375
"PSIQUIATRIA DEL NIÑO Y DEL ADOLESCENTE"	72	70	0.972222222222222	49	0.7	21	0.3
"RADIOLOGIA"	2723	2549	0.936099889827396	1125	0.441349548842683	1424	0.558650451157317
"RADIOLOGIA INTERVENCIONISTA"	53	52	0.981132075471698	14	0.269230769230769	38	0.730769230769231
"RADIOTERAPIA"	140	134	0.957142857142857	55	0.41044776119403	79	0.58955223880597
"REUMATOLOGIA"	747	693	0.927710843373494	395	0.56998556998557	298	0.43001443001443
"UROLOGIA"	1288	1197	0.929347826086957	213	0.177944862155388	984	0.822055137844611
"UROLOGIA ONCOLOGICA"	41	29	0.707317073170732	1	0.0344827586206897	28	0.96551724137931
"UROLOGIA PEDIATRICA"	21	20	0.952380952380952	3	0.15	17	0.85
