year,gender,Universidad_postulantes,Universidad_ingresantes,especialidad_subespecialidad_postulantes,especialidad_subespecialidad_ingresantes,ingreso
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,0,UCSM,NA,MEDICINA ONCOLOGICA,NA,0
2013,NA,UCSM,NA,DERMATOLOGIA,NA,0
2013,0,UCSM,NA,OTORRINOLARINGOLOGIA,NA,0
2013,0,UCSM,NA,OTORRINOLARINGOLOGIA,NA,0
2013,0,UCSM,NA,MEDICINA INTENSIVA,NA,0
2013,0,UCSM,NA,ANESTESIOLOGIA,NA,0
2013,0,UCSM,NA,MEDICINA ONCOLOGICA,NA,0
2013,0,UCSM,NA,CIRUGIA GENERAL,NA,0
2013,1,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,0,UCSM,NA,MEDICINA ONCOLOGICA,NA,0
2013,0,UCSM,NA,OTORRINOLARINGOLOGIA,NA,0
2013,0,UCSM,NA,NEUROCIRUGIA,NA,0
2013,0,UCSM,NA,MEDICINA DE REHABILITACION,NA,0
2013,0,UCSM,NA,CARDIOLOGIA,NA,0
2013,0,UCSM,NA,NEUMOLOGIA,NA,0
2013,1,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UCSM,NA,CIRUGIA ONCOLOGICA,NA,0
2013,0,UCSM,NA,UROLOGIA,NA,0
2013,0,UCSM,NA,RADIOLOGIA,NA,0
2013,0,UCSM,NA,DERMATOLOGIA,NA,0
2013,1,UCSM,NA,ANATOMIA PATOLOGICA,NA,0
2013,1,UCSM,NA,HEMATOLOGIA CLINICA,NA,0
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,1,UCSM,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UCSM,NA,CARDIOLOGIA,NA,0
2013,0,UCSM,NA,DERMATOLOGIA,NA,0
2013,1,UCSM,NA,CARDIOLOGIA,NA,0
2013,1,UCSM,NA,MEDICINA INTENSIVA,NA,0
2013,0,UCSM,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,1,UCSM,NA,OFTALMOLOGIA,NA,0
2013,NA,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,1,UCSM,NA,OFTALMOLOGIA,NA,0
2013,1,UCSM,NA,RADIOTERAPIA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,1,UCSM,NA,MEDICINA ONCOLOGICA,NA,0
2013,0,UCSM,NA,CIRUGIA DE CABEZA Y CUELLO,NA,0
2013,0,UCSM,NA,RADIOLOGIA,NA,0
2013,1,UCSM,NA,NEUROCIRUGIA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,1,UCSM,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UCSM,NA,CIRUGIA DE CABEZA Y CUELLO,NA,0
2013,1,UCSM,NA,OFTALMOLOGIA,NA,0
2013,0,UCSM,NA,UROLOGIA,NA,0
2013,0,UCSM,NA,ANESTESIOLOGIA,NA,0
2013,0,UCSM,NA,NEUROLOGIA,NA,0
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,1,UCSM,NA,CIRUGIA ONCOLOGICA,NA,0
2013,0,UCSM,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UCSM,NA,CIRUGIA GENERAL,NA,0
2013,0,UCSM,NA,MEDICINA INTENSIVA,NA,0
2013,0,UCSM,NA,UROLOGIA,NA,0
2013,1,UCSM,NA,MEDICINA ONCOLOGICA,NA,0
2013,0,UCSM,NA,UROLOGIA,NA,0
2013,0,UCSM,NA,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0
2013,0,UCSM,NA,PEDIATRIA,NA,0
2013,0,UCSM,NA,ANESTESIOLOGIA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,1,UCSM,NA,PEDIATRIA,NA,0
2013,1,UCSM,NA,PEDIATRIA,NA,0
2013,1,UCSM,NA,MEDICINA DE REHABILITACION,NA,0
2013,1,UCSM,NA,RADIOTERAPIA,NA,0
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,0,UCSM,NA,NEUROLOGIA,NA,0
2013,0,UCSM,NA,NEUROLOGIA,NA,0
2013,0,UCSM,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UCSM,NA,OFTALMOLOGIA,NA,0
2013,1,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UCSM,NA,MEDICINA DE REHABILITACION,NA,0
2013,1,UCSM,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UCSM,NA,ENDOCRINOLOGIA,NA,0
2013,1,UCSM,NA,DERMATOLOGIA,NA,0
2013,0,UCSM,NA,DERMATOLOGIA,NA,0
2013,1,UCSM,NA,NEONATOLOGIA,NA,0
2013,1,UCV,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UCV,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,1,UCV,NA,MEDICINA INTERNA,NA,0
2013,1,UCV,NA,NEFROLOGIA,NA,0
2013,0,UCV,NA,NEFROLOGIA,NA,0
2013,1,UCV,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UCV,NA,NEFROLOGIA,NA,0
2013,1,UCV,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UCV,NA,NEFROLOGIA,NA,0
2013,1,UCV,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UNA,NA,CIRUGIA GENERAL,NA,0
2013,0,UNA,NA,CIRUGIA GENERAL,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,RADIOLOGIA,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,0,UNA,NA,CIRUGIA GENERAL,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UNA,NA,CIRUGIA GENERAL,NA,0
2013,0,UNA,NA,CIRUGIA GENERAL,NA,0
2013,0,UNA,NA,ANESTESIOLOGIA,NA,0
2013,1,UNA,NA,PEDIATRIA,NA,0
2013,1,UNA,NA,MEDICINA INTERNA,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,1,UNA,NA,PEDIATRIA,NA,0
2013,1,UNA,NA,PEDIATRIA,NA,0
2013,0,UNA,NA,RADIOLOGIA,NA,0
2013,0,UNA,NA,ANESTESIOLOGIA,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,MEDICINA INTERNA,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,1,UNA,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UNA,NA,ANESTESIOLOGIA,NA,0
2013,1,UNA,NA,ANESTESIOLOGIA,NA,0
2013,0,UNA,NA,CIRUGIA GENERAL,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,0,UNA,NA,RADIOLOGIA,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,0,UNA,NA,RADIOLOGIA,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,1,UNA,NA,PEDIATRIA,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,CIRUGIA GENERAL,NA,0
2013,0,UNA,NA,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,NA,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNA,NA,MEDICINA INTERNA,NA,0
2013,0,UNA,NA,RADIOLOGIA,NA,0
2013,0,UNA,NA,PEDIATRIA,NA,0
2013,0,UNA,NA,RADIOLOGIA,NA,0
2013,0,UNA,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNA,NA,ANESTESIOLOGIA,NA,0
2013,0,UNA,NA,CIRUGIA GENERAL,NA,0
2013,0,UNAP,NA,MEDICINA DE ENFERMEDADES INFECCIOSA,NA,0
2013,0,UNAP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNAP,NA,PEDIATRIA,NA,0
2013,0,UNAP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNAP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNAP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNAP,NA,PEDIATRIA,NA,0
2013,0,UNAP,NA,MEDICINA DE ENFERMEDADES INFECCIOSA,NA,0
2013,0,UNAP,NA,PEDIATRIA,NA,0
2013,0,UNAP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNAP,NA,MEDICINA DE ENFERMEDADES INFECCIOSA,NA,0
2013,0,UNC,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNC,NA,CIRUGIA GENERAL,NA,0
2013,1,UNC,NA,PEDIATRIA,NA,0
2013,0,UNC,NA,RADIOLOGIA,NA,0
2013,1,UNC,NA,PEDIATRIA,NA,0
2013,0,UNC,NA,PATOLOGIA CLINICA,NA,0
2013,0,UNC,NA,CIRUGIA GENERAL,NA,0
2013,1,UNC,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UNC,NA,CIRUGIA GENERAL,NA,0
2013,0,UNC,NA,RADIOLOGIA,NA,0
2013,0,UNC,NA,CIRUGIA GENERAL,NA,0
2013,1,UNC,NA,PEDIATRIA,NA,0
2013,0,UNC,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNC,NA,CIRUGIA GENERAL,NA,0
2013,0,UNC,NA,PEDIATRIA,NA,0
2013,0,UNC,NA,PEDIATRIA,NA,0
2013,1,UNC,NA,PEDIATRIA,NA,0
2013,0,UNC,NA,PEDIATRIA,NA,0
2013,0,UNC,NA,CIRUGIA GENERAL,NA,0
2013,1,UNC,NA,CIRUGIA GENERAL,NA,0
2013,1,UNC,NA,PEDIATRIA,NA,0
2013,0,UNC,NA,CIRUGIA GENERAL,NA,0
2013,1,UNC,NA,RADIOLOGIA,NA,0
2013,0,UNC,NA,MEDICINA INTERNA,NA,0
2013,1,UNC,NA,PEDIATRIA,NA,0
2013,0,UNC,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNC,NA,RADIOLOGIA,NA,0
2013,0,UNCP,NA,MEDICINA ONCOLOGICA,NA,0
2013,0,UNCP,NA,RADIOLOGIA,NA,0
2013,1,UNCP,NA,PEDIATRIA,NA,0
2013,1,UNCP,NA,RADIOLOGIA,NA,0
2013,1,UNCP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNCP,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UNCP,NA,CIRUGIA GENERAL,NA,0
2013,0,UNCP,NA,PEDIATRIA,NA,0
2013,0,UNCP,NA,CIRUGIA GENERAL,NA,0
2013,0,UNCP,NA,CIRUGIA GENERAL,NA,0
2013,1,UNCP,NA,ANESTESIOLOGIA,NA,0
2013,0,UNCP,NA,RADIOLOGIA,NA,0
2013,1,UNCP,NA,PEDIATRIA,NA,0
2013,0,UNCP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNCP,NA,PEDIATRIA,NA,0
2013,0,UNCP,NA,MEDICINA ONCOLOGICA,NA,0
2013,0,UNCP,NA,CIRUGIA GENERAL,NA,0
2013,0,UNCP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNCP,NA,MEDICINA INTERNA,NA,0
2013,1,UNCP,NA,MEDICINA INTERNA,NA,0
2013,0,UNCP,NA,RADIOLOGIA,NA,0
2013,0,UNCP,NA,MEDICINA ONCOLOGICA,NA,0
2013,1,UNCP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNCP,NA,MEDICINA INTERNA,NA,0
2013,0,UNCP,NA,RADIOLOGIA,NA,0
2013,0,UNCP,NA,RADIOLOGIA,NA,0
2013,1,UNCP,NA,RADIOLOGIA,NA,0
2013,0,UNCP,NA,CIRUGIA GENERAL,NA,0
2013,0,UNCP,NA,PEDIATRIA,NA,0
2013,0,UNCP,NA,PEDIATRIA,NA,0
2013,0,UNCP,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,1,UNCP,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNCP,NA,PEDIATRIA,NA,0
2013,0,UNCP,NA,ANESTESIOLOGIA,NA,0
2013,1,UNCP,NA,PEDIATRIA,NA,0
2013,0,UNCP,NA,PEDIATRIA,NA,0
2013,0,UNCP,NA,MEDICINA ONCOLOGICA,NA,0
2013,1,UNCP,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,0,UNCP,NA,CIRUGIA GENERAL,NA,0
2013,0,UNCP,NA,PEDIATRIA,NA,0
2013,1,UNCP,NA,ANESTESIOLOGIA,NA,0
2013,0,UNCP,NA,MEDICINA ONCOLOGICA,NA,0
2013,1,UNCP,NA,ANESTESIOLOGIA,NA,0
2013,1,UNCP,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UNCP,NA,ANESTESIOLOGIA,NA,0
2013,NA,UNCP,NA,ANESTESIOLOGIA,NA,0
2013,0,UNCP,NA,CIRUGIA GENERAL,NA,0
2013,1,UNCP,NA,ANESTESIOLOGIA,NA,0
2013,1,UNCP,NA,RADIOLOGIA,NA,0
2013,0,UNCP,NA,ANESTESIOLOGIA,NA,0
2013,0,UNCP,NA,RADIOLOGIA,NA,0
2013,1,UNFV,NA,MEDICINA INTENSIVA,NA,0
2013,1,UNFV,NA,ENDOCRINOLOGIA,NA,0
2013,1,UNFV,NA,CARDIOLOGIA,NA,0
2013,0,UNFV,NA,PEDIATRIA,NA,0
2013,0,UNFV,NA,GERIATRIA,NA,0
2013,0,UNFV,NA,RADIOLOGIA,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,1,UNFV,NA,CIRUGIA PEDIATRICA,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,MEDICINA INTERNA,NA,0
2013,0,UNFV,NA,ANESTESIOLOGIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,DERMATOLOGIA,NA,0
2013,0,UNFV,NA,PSIQUIATRIA,NA,0
2013,1,UNFV,NA,ENDOCRINOLOGIA,NA,0
2013,0,UNFV,NA,CIRUGIA GENERAL,NA,0
2013,0,UNFV,NA,GASTROENTEROLOGIA,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,CIRUGIA TORACICA Y CARDIOVASCULAR,NA,0
2013,1,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,0,UNFV,NA,NEUROCIRUGIA,NA,0
2013,1,UNFV,NA,ENDOCRINOLOGIA,NA,0
2013,0,UNFV,NA,PSIQUIATRIA,NA,0
2013,1,UNFV,NA,ENDOCRINOLOGIA,NA,0
2013,0,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,UROLOGIA,NA,0
2013,1,UNFV,NA,CIRUGIA GENERAL,NA,0
2013,1,UNFV,NA,CIRUGIA ONCOLOGICA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,0,UNFV,NA,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,ENDOCRINOLOGIA,NA,0
2013,0,UNFV,NA,PEDIATRIA,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,0,UNFV,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,0,UNFV,NA,NEUMOLOGIA,NA,0
2013,1,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNFV,NA,CARDIOLOGIA,NA,0
2013,0,UNFV,NA,CIRUGIA GENERAL,NA,0
2013,0,UNFV,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,0,UNFV,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,NA,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,0,UNFV,NA,ANESTESIOLOGIA,NA,0
2013,0,UNFV,NA,DERMATOLOGIA,NA,0
2013,0,UNFV,NA,ENDOCRINOLOGIA,NA,0
2013,0,UNFV,NA,CIRUGIA GENERAL,NA,0
2013,1,UNFV,NA,RADIOLOGIA,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNFV,NA,ANESTESIOLOGIA,NA,0
2013,0,UNFV,NA,MEDICINA FAMILIAR Y COMUNITARIA,NA,0
2013,0,UNFV,NA,NEUROCIRUGIA,NA,0
2013,0,UNFV,NA,CARDIOLOGIA,NA,0
2013,1,UNFV,NA,CIRUGIA GENERAL,NA,0
2013,0,UNFV,NA,RADIOLOGIA,NA,0
2013,0,UNFV,NA,CARDIOLOGIA,NA,0
2013,1,UNFV,NA,DERMATOLOGIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,MEDICINA INTERNA,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNFV,NA,CARDIOLOGIA,NA,0
2013,1,UNFV,NA,ENDOCRINOLOGIA,NA,0
2013,0,UNFV,NA,NEUROCIRUGIA,NA,0
2013,0,UNFV,NA,GASTROENTEROLOGIA,NA,0
2013,0,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,0,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,ENDOCRINOLOGIA,NA,0
2013,0,UNFV,NA,CIRUGIA GENERAL,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,1,UNFV,NA,MEDICINA ONCOLOGICA,NA,0
2013,0,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,GASTROENTEROLOGIA,NA,0
2013,0,UNFV,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,0,UNFV,NA,PEDIATRIA,NA,0
2013,NA,UNFV,NA,DERMATOLOGIA,NA,0
2013,0,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,0,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,0,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,0,UNFV,NA,UROLOGIA,NA,0
2013,0,UNFV,NA,UROLOGIA,NA,0
2013,0,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,0,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,1,UNFV,NA,DERMATOLOGIA,NA,0
2013,0,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UNFV,NA,ENDOCRINOLOGIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,NA,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,RADIOLOGIA,NA,0
2013,1,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,0,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,0,UNFV,NA,NEFROLOGIA,NA,0
2013,0,UNFV,NA,UROLOGIA,NA,0
2013,0,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,PSIQUIATRIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,1,UNFV,NA,PEDIATRIA,NA,0
2013,0,UNFV,NA,UROLOGIA,NA,0
2013,NA,UNFV,NA,NEUROLOGIA,NA,0
2013,0,UNFV,NA,MEDICINA INTERNA,NA,0
2013,1,UNFV,NA,NEFROLOGIA,NA,0
2013,0,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,NA,UNFV,NA,CIRUGIA ONCOLOGICA,NA,0
2013,0,UNFV,NA,RADIOLOGIA,NA,0
2013,1,UNFV,NA,MEDICINA DE REHABILITACION,NA,0
2013,0,UNFV,NA,CARDIOLOGIA,NA,0
2013,1,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,1,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,NA,UNFV,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,0,UNFV,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
2013,0,UNFV,NA,CIRUGIA TORACICA Y CARDIOVASCULAR,NA,0
2013,1,UNFV,NA,NEFROLOGIA,NA,0
2013,1,UNFV,NA,GINECOLOGIA Y OBSTETRICIA,NA,0
2013,1,UNFV,NA,NEFROLOGIA,NA,0
2013,0,UNFV,NA,OTORRINOLARINGOLOGIA,NA,0
2013,NA,UNFV,NA,ORTOPEDIA Y TRAUMATOLOGIA,NA,0
