year,Especialidad/SubEspecialidad_postulantes,Especialidad/SubEspecialidad_ingresantes,Universidad_postulantes,Universidad_ingresantes,gender,department_postulantes,department_ingresantes
2013,NEFROLOGIA,NA,UCV,NA,M,La Libertad,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UCV,NA,F,La Libertad,NA
2013,NEFROLOGIA,NA,UCV,NA,M,La Libertad,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UCV,NA,F,La Libertad,NA
2013,NEFROLOGIA,NA,UCV,NA,M,La Libertad,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UCV,NA,F,La Libertad,NA
2013,CIRUGIA GENERAL,NA,UNA,NA,M,Puno,NA
2013,CIRUGIA GENERAL,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,F,Puno,NA
2013,RADIOLOGIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,CIRUGIA GENERAL,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UNA,NA,M,Puno,NA
2013,CIRUGIA GENERAL,NA,UNA,NA,M,Puno,NA
2013,CIRUGIA GENERAL,NA,UNA,NA,M,Puno,NA
2013,ANESTESIOLOGIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,F,Puno,NA
2013,MEDICINA INTERNA,NA,UNA,NA,F,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,F,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,F,Puno,NA
2013,RADIOLOGIA,NA,UNA,NA,M,Puno,NA
2013,ANESTESIOLOGIA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,MEDICINA INTERNA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UNA,NA,F,Puno,NA
2013,ANESTESIOLOGIA,NA,UNA,NA,M,Puno,NA
2013,ANESTESIOLOGIA,NA,UNA,NA,F,Puno,NA
2013,CIRUGIA GENERAL,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,RADIOLOGIA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,RADIOLOGIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,F,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,CIRUGIA GENERAL,NA,UNA,NA,M,Puno,NA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,NA,Puno,NA
2013,MEDICINA INTERNA,NA,UNA,NA,M,Puno,NA
2013,RADIOLOGIA,NA,UNA,NA,M,Puno,NA
2013,PEDIATRIA,NA,UNA,NA,M,Puno,NA
2013,RADIOLOGIA,NA,UNA,NA,M,Puno,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNA,NA,M,Puno,NA
2013,ANESTESIOLOGIA,NA,UNA,NA,F,Puno,NA
2013,CIRUGIA GENERAL,NA,UNA,NA,M,Puno,NA
2013,MEDICINA DE ENFERMEDADES INFECCIOSA,NA,UNAP,NA,M,Loreto,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNAP,NA,M,Loreto,NA
2013,PEDIATRIA,NA,UNAP,NA,M,Loreto,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNAP,NA,M,Loreto,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNAP,NA,M,Loreto,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNAP,NA,M,Loreto,NA
2013,PEDIATRIA,NA,UNAP,NA,F,Loreto,NA
2013,MEDICINA DE ENFERMEDADES INFECCIOSA,NA,UNAP,NA,M,Loreto,NA
2013,PEDIATRIA,NA,UNAP,NA,M,Loreto,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNAP,NA,M,Loreto,NA
2013,MEDICINA DE ENFERMEDADES INFECCIOSA,NA,UNAP,NA,M,Loreto,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNC,NA,M,Cajamarca,NA
2013,CIRUGIA GENERAL,NA,UNC,NA,M,Cajamarca,NA
2013,PEDIATRIA,NA,UNC,NA,F,Cajamarca,NA
2013,RADIOLOGIA,NA,UNC,NA,M,Cajamarca,NA
2013,PEDIATRIA,NA,UNC,NA,F,Cajamarca,NA
2013,PATOLOGIA CLINICA,NA,UNC,NA,M,Cajamarca,NA
2013,CIRUGIA GENERAL,NA,UNC,NA,M,Cajamarca,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UNC,NA,F,Cajamarca,NA
2013,CIRUGIA GENERAL,NA,UNC,NA,M,Cajamarca,NA
2013,RADIOLOGIA,NA,UNC,NA,M,Cajamarca,NA
2013,CIRUGIA GENERAL,NA,UNC,NA,M,Cajamarca,NA
2013,PEDIATRIA,NA,UNC,NA,F,Cajamarca,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNC,NA,M,Cajamarca,NA
2013,CIRUGIA GENERAL,NA,UNC,NA,M,Cajamarca,NA
2013,PEDIATRIA,NA,UNC,NA,M,Cajamarca,NA
2013,PEDIATRIA,NA,UNC,NA,M,Cajamarca,NA
2013,PEDIATRIA,NA,UNC,NA,F,Cajamarca,NA
2013,PEDIATRIA,NA,UNC,NA,M,Cajamarca,NA
2013,CIRUGIA GENERAL,NA,UNC,NA,M,Cajamarca,NA
2013,CIRUGIA GENERAL,NA,UNC,NA,F,Cajamarca,NA
2013,PEDIATRIA,NA,UNC,NA,F,Cajamarca,NA
2013,CIRUGIA GENERAL,NA,UNC,NA,M,Cajamarca,NA
2013,RADIOLOGIA,NA,UNC,NA,F,Cajamarca,NA
2013,MEDICINA INTERNA,NA,UNC,NA,M,Cajamarca,NA
2013,PEDIATRIA,NA,UNC,NA,F,Cajamarca,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNC,NA,M,Cajamarca,NA
2013,RADIOLOGIA,NA,UNC,NA,F,Cajamarca,NA
2013,MEDICINA ONCOLOGICA,NA,UNCP,NA,M,Junin,NA
2013,RADIOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,F,Junin,NA
2013,RADIOLOGIA,NA,UNCP,NA,F,Junin,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNCP,NA,F,Junin,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UNCP,NA,M,Junin,NA
2013,CIRUGIA GENERAL,NA,UNCP,NA,M,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,M,Junin,NA
2013,CIRUGIA GENERAL,NA,UNCP,NA,M,Junin,NA
2013,CIRUGIA GENERAL,NA,UNCP,NA,M,Junin,NA
2013,ANESTESIOLOGIA,NA,UNCP,NA,F,Junin,NA
2013,RADIOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,F,Junin,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNCP,NA,M,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,F,Junin,NA
2013,MEDICINA ONCOLOGICA,NA,UNCP,NA,M,Junin,NA
2013,CIRUGIA GENERAL,NA,UNCP,NA,M,Junin,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNCP,NA,M,Junin,NA
2013,MEDICINA INTERNA,NA,UNCP,NA,M,Junin,NA
2013,MEDICINA INTERNA,NA,UNCP,NA,F,Junin,NA
2013,RADIOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,MEDICINA ONCOLOGICA,NA,UNCP,NA,M,Junin,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNCP,NA,F,Junin,NA
2013,MEDICINA INTERNA,NA,UNCP,NA,F,Junin,NA
2013,RADIOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,RADIOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,RADIOLOGIA,NA,UNCP,NA,F,Junin,NA
2013,CIRUGIA GENERAL,NA,UNCP,NA,M,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,M,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,M,Junin,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNCP,NA,F,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,F,Junin,NA
2013,ANESTESIOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,F,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,M,Junin,NA
2013,MEDICINA ONCOLOGICA,NA,UNCP,NA,M,Junin,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UNCP,NA,F,Junin,NA
2013,CIRUGIA GENERAL,NA,UNCP,NA,M,Junin,NA
2013,PEDIATRIA,NA,UNCP,NA,M,Junin,NA
2013,ANESTESIOLOGIA,NA,UNCP,NA,F,Junin,NA
2013,MEDICINA ONCOLOGICA,NA,UNCP,NA,M,Junin,NA
2013,ANESTESIOLOGIA,NA,UNCP,NA,F,Junin,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UNCP,NA,F,Junin,NA
2013,ANESTESIOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,ANESTESIOLOGIA,NA,UNCP,NA,NA,Junin,NA
2013,CIRUGIA GENERAL,NA,UNCP,NA,M,Junin,NA
2013,ANESTESIOLOGIA,NA,UNCP,NA,F,Junin,NA
2013,RADIOLOGIA,NA,UNCP,NA,F,Junin,NA
2013,ANESTESIOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,RADIOLOGIA,NA,UNCP,NA,M,Junin,NA
2013,MEDICINA INTENSIVA,NA,UNFV,NA,F,Lima,NA
2013,ENDOCRINOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,CARDIOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,M,Lima,NA
2013,GERIATRIA,NA,UNFV,NA,M,Lima,NA
2013,RADIOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNFV,NA,M,Lima,NA
2013,MEDICINA DE REHABILITACION,NA,UNFV,NA,M,Lima,NA
2013,CIRUGIA PEDIATRICA,NA,UNFV,NA,F,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNFV,NA,M,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,M,Lima,NA
2013,MEDICINA INTERNA,NA,UNFV,NA,F,Lima,NA
2013,ANESTESIOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
2013,DERMATOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,PSIQUIATRIA,NA,UNFV,NA,M,Lima,NA
2013,ENDOCRINOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,CIRUGIA GENERAL,NA,UNFV,NA,M,Lima,NA
2013,GASTROENTEROLOGIA,NA,UNFV,NA,M,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNFV,NA,M,Lima,NA
2013,CIRUGIA TORACICA Y CARDIOVASCULAR,NA,UNFV,NA,M,Lima,NA
2013,MEDICINA DE REHABILITACION,NA,UNFV,NA,F,Lima,NA
2013,NEUROCIRUGIA,NA,UNFV,NA,M,Lima,NA
2013,ENDOCRINOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,PSIQUIATRIA,NA,UNFV,NA,M,Lima,NA
2013,ENDOCRINOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,M,Lima,NA
2013,UROLOGIA,NA,UNFV,NA,F,Lima,NA
2013,CIRUGIA GENERAL,NA,UNFV,NA,F,Lima,NA
2013,CIRUGIA ONCOLOGICA,NA,UNFV,NA,F,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
2013,MEDICINA DE EMERGENCIAS Y DESASTRES,NA,UNFV,NA,M,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNFV,NA,F,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
2013,ENDOCRINOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,M,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNFV,NA,M,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
2013,NEUMOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,OTORRINOLARINGOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNFV,NA,F,Lima,NA
2013,CARDIOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,CIRUGIA GENERAL,NA,UNFV,NA,M,Lima,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,ORTOPEDIA Y TRAUMATOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
2013,MEDICINA DE REHABILITACION,NA,UNFV,NA,NA,Lima,NA
2013,ANESTESIOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,DERMATOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,ENDOCRINOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,CIRUGIA GENERAL,NA,UNFV,NA,M,Lima,NA
2013,RADIOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,GINECOLOGIA Y OBSTETRICIA,NA,UNFV,NA,M,Lima,NA
2013,ANESTESIOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,MEDICINA FAMILIAR Y COMUNITARIA,NA,UNFV,NA,M,Lima,NA
2013,NEUROCIRUGIA,NA,UNFV,NA,M,Lima,NA
2013,CARDIOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,CIRUGIA GENERAL,NA,UNFV,NA,F,Lima,NA
2013,RADIOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,CARDIOLOGIA,NA,UNFV,NA,M,Lima,NA
2013,DERMATOLOGIA,NA,UNFV,NA,F,Lima,NA
2013,PEDIATRIA,NA,UNFV,NA,F,Lima,NA
