especialidad_postulantes,gender,year,universidad_postulantes,universidad_ingresantes,especialidad_ingresantes,ingreso
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,UPCH,UPCH,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,UPCH,UPCH,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,URP,URP,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,URP,URP,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,URP,URP,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2016,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2016,USMP,USMP,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2017,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,UPAO,UPAO,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNC,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,UPCH,UPCH,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,URP,URP,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2017,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2017,USMP,USMP,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2017,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2017,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNC,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2018,UPCH,UPCH,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2018,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2018,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,UNC,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2019,UNMSM,UPCH,RADIOLOGIA,1
ADMINISTRACION Y GESTION EN SALUD,0,2019,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2019,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2019,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2019,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,UPSJB,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,UPSJB,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2019,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2019,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2019,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2020,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,UPAO,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2020,USMP,USMP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,UNSA,UNSA,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2022,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2022,UPCH,UPCH,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2022,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2022,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2023,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2023,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2023,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2023,UNMSM,UNMSM,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2023,UPCH,UPCH,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2023,UPAO,UPAO,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2023,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2023,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2023,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2023,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2023,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2023,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,0,2023,URP,URP,ADMINISTRACION Y GESTION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,0,2023,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2013,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2014,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UNSA,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,UPCH,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,URP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2015,USMP,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,UNMSM,ADMINISTRACION EN SALUD,1
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
ADMINISTRACION Y GESTION EN SALUD,1,2016,UNMSM,NA,NA,0
